RefDes,Qty,MPN,Description,Notes
U301,1,OPA1679IDR,"Quad audio op amp","U301A/U301B crossfade summers, U301C/U301D feedback drivers"
P301,1,B3B-XH-A,"3-position signal header","Input from ext-routing board: TANK_MIX_L, AGND, TANK_MIX_R"
P302,1,B3B-XH-A,"3-position signal header","Output to filter/clipper board: XFADE_OUT_L, AGND, XFADE_OUT_R"
P303,1,B3B-XH-A,"3-position signal header","Return from filter/clipper board: FILTCLIP_OUT_L, AGND, FILTCLIP_OUT_R"
P304,1,B3B-XH-A,"3-position signal header","Direct wet return to I/O board: WET_SUM_L, AGND, WET_SUM_R"
P305,1,B3B-XH-A,"3-position signal header","Feedback reinjection output: FB_RET_L, AGND, FB_RET_R"
P306,1,B3P-VH-B,"3-position power header","Board power input: +15VA, AGND, -15VA"
P307,1,B10B-XH-A,"10-position grouped control header","Current rev-A grouped landing for crossfade, feedback amount, feedback phase invert, and AGND; may grow if raw passive feedback-pot wiring is expanded later"
R301,1,RC0603FR-0720KL,"20k 1% resistor, 0603","Left crossfade entry: XFD_L_WIPER to U301A-"
R302,1,RC0603FR-0720KL,"20k 1% resistor, 0603","Right crossfade entry: XFD_R_WIPER to U301B-"
R309,1,RC0603FR-0720KL,"20k 1% resistor, 0603","Left crossfade unity-gain feedback"
R310,1,RC0603FR-0720KL,"20k 1% resistor, 0603","Right crossfade unity-gain feedback"
R311,1,RC0603FR-07100RL,"100R 1% resistor, 0603","Left filter-send isolator"
R312,1,RC0603FR-07100RL,"100R 1% resistor, 0603","Right filter-send isolator"
R321,1,RC0603FR-0720KL,"20k 1% resistor, 0603","Left feedback-driver input from FILTCLIP_OUT_L"
R322,1,RC0603FR-0720KL,"20k 1% resistor, 0603","Right feedback-driver input from FILTCLIP_OUT_R"
R323,1,RC0603FR-0720KL,"20k 1% resistor, 0603","Left feedback amount return-path start value; trim-friendly"
R324,1,RC0603FR-0720KL,"20k 1% resistor, 0603","Right feedback amount return-path start value; trim-friendly"
R325,1,RC0603FR-0710KL,"10k 1% resistor, 0603","Left minimum loop-floor feedback"
R326,1,RC0603FR-0710KL,"10k 1% resistor, 0603","Right minimum loop-floor feedback"
R331,1,RC0603FR-07100RL,"100R 1% resistor, 0603","Left feedback-send isolator after phase selection"
R332,1,RC0603FR-07100RL,"100R 1% resistor, 0603","Right feedback-send isolator after phase selection"
R341,1,RC0603FR-07100RL,"100R 1% resistor, 0603","Left final wet-return isolator"
R342,1,RC0603FR-07100RL,"100R 1% resistor, 0603","Right final wet-return isolator"
C321,1,C0603C470J5GACTU,"47pF NP0 capacitor, 0603, DNP default","Left feedback-driver stability footprint"
C322,1,C0603C470J5GACTU,"47pF NP0 capacitor, 0603, DNP default","Right feedback-driver stability footprint"
C391,1,CC0603KRX7R9BB104,"100nF X7R capacitor, 0603","Local +15VA decoupling near U301 power unit"
C392,1,CC0603KRX7R9BB104,"100nF X7R capacitor, 0603","Local -15VA decoupling near U301 power unit"
C393,1,UWX1E100MCL1GB,"10uF 25V electrolytic or polymer support cap","Local positive-rail bulk footprint; power-path only"
C394,1,UWX1E100MCL1GB,"10uF 25V electrolytic or polymer support cap","Local negative-rail bulk footprint; power-path only"
