RefDes,Qty,MPN,Description,Notes
U1,1,OPA1644AIDR,"Quad JFET/BiFET-input audio op amp","Balanced receiver and mono-to-stereo utility stages"
U2,1,OPA1656IDR,"Dual audio op amp","Wet/dry mixer left and right"
U3,1,OPA1656IDR,"Dual audio op amp","Balanced output driver left hot/cold"
U4,1,OPA1656IDR,"Dual audio op amp","Balanced output driver right hot/cold"
J1,1,NCJ6FI-S,"Combo XLR/TRS jack","Left input"
J2,1,NCJ6FI-S,"Combo XLR/TRS jack","Right input"
J3,1,NCJ6FI-S,"Combo XLR/TRS jack","Left output"
J4,1,NCJ6FI-S,"Combo XLR/TRS jack","Right output"
P1,1,B3P-VH-B,"3-position power header","Board power input"
P2,1,B3B-XH-A,"3-position signal header","Wet send"
P3,1,B3B-XH-A,"3-position signal header","Wet return"
P4,1,B3B-XH-A,"3-position signal header","Dry distribution"
P5,1,B6B-XH-A,"6-position header","Wet/Dry dual-gang control if the pot is off-board"
P6,1,B3B-XH-A,"3-position header","Mono->Stereo switch if the switch is off-board"
R*,1,set,"0.1% ratio resistors","Balanced input and output resistor networks"
C*,1,set,"Audio-path capacitor set","Prefer direct coupling or film-family parts in signal path"
