RefDes,Qty,MPN,Description,Notes
U101,1,OPA1656IDR,"Dual audio op amp","Primary left/right send predriver"
Q101,1,BD139-16,"NPN transistor","Primary left send output device"
Q102,1,BD140-16,"PNP transistor","Primary left send output device"
Q103,1,BD139-16,"NPN transistor","Primary right send output device"
Q104,1,BD140-16,"PNP transistor","Primary right send output device"
U102,1,OPA1656IDR,"Dual audio op amp","Secondary left/right send drivers"
U103,1,OPA1656IDR,"Dual audio op amp","Primary left/right recovery"
U104,1,OPA1656IDR,"Dual audio op amp","Secondary left/right recovery"
P101,1,B6B-XH-A,"6-position signal header","Primary send/return bundle"
P102,1,B6B-XH-A,"6-position signal header","Secondary send/return bundle"
P103,1,B3P-VH-B,"3-position power header","Board power input"
J101-J108,8,TBD,"RCA or equivalent tank connectors","Depends on chassis/harness implementation"
R*,1,set,"Gain and trim resistors","Send/recovery stages need bench tuning; include emitter resistors and bias-set parts for primary send stage"
C*,1,set,"Audio-path capacitor set","Film preferred in audio path; power path may use practical power capacitors"
