"Reference","Quantity","Value","Footprint","Manufacturer","MPN","Description","AssemblyScope","DNP"
"C321,C322","2","47p","C_0805_2012Metric","","","47p (C_0805_2012Metric)","","DNP"
"C391,C392","2","100n","C_0805_2012Metric","","","100n (C_0805_2012Metric)","",""
"C393,C394","2","22u","C_1210_3225Metric","","","22u (C_1210_3225Metric)","",""
"D301","1","1N4148W","D_SOD-123","","1N4148W","100V 300mA SOD-123 switching diode","",""
"K301","1","G5V-2 12VDC","Relay_DPDT_Omron_G5V-2","Omron","G5V-2 DC12","DPDT signal relay, 12VDC coil","",""
"P301","1","P301","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","JST Sales America Inc.","B3B-XH-A","3-position 2.50mm through-hole header","TH",""
"P302","1","P302","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","JST Sales America Inc.","B3B-XH-A","3-position 2.50mm through-hole header","TH",""
"P303","1","P303","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","JST Sales America Inc.","B3B-XH-A","3-position 2.50mm through-hole header","TH",""
"P304","1","P304","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","JST Sales America Inc.","B3B-XH-A","3-position 2.50mm through-hole header","TH",""
"P305","1","P305","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","JST Sales America Inc.","B3B-XH-A","3-position 2.50mm through-hole header","TH",""
"P306","1","JXFD-PWR B3P-VH-B","JST_VH_B3P-VH_1x03_P3.96mm_Vertical","JST Sales America Inc.","B3P-VH-B","3-position 3.96mm through-hole header","TH",""
"P307","1","P307","JST_XH_B10B-XH-A_1x10_P2.50mm_Vertical","JST","B10B-XH-A","JST B10B-XH-A shrouded header","",""
"R301,R302,R309,R310,R321,R322,R323,R324","8","20k","R_0805_2012Metric","","","20k (R_0805_2012Metric)","",""
"R311,R312,R331,R332,R341,R342","6","100","R_0805_2012Metric","","","100 (R_0805_2012Metric)","",""
"R325,R326","2","10k","R_0805_2012Metric","","","10k (R_0805_2012Metric)","",""
