Ref,Val,Package,PosX,PosY,Rot,Side
"C321","47p","C_0805_2012Metric",110.000000,-40.000000,0.000000,top
"C322","47p","C_0805_2012Metric",110.000000,-64.000000,0.000000,top
"C391","100n","C_0805_2012Metric",52.000000,-74.000000,0.000000,top
"C392","100n","C_0805_2012Metric",52.000000,-80.000000,0.000000,top
"C393","22u","C_1210_3225Metric",60.000000,-74.000000,0.000000,top
"C394","22u","C_1210_3225Metric",60.000000,-80.000000,0.000000,top
"D301","1N4148W","D_SOD-123",72.000000,-86.000000,0.000000,top
"K301","G5V-2 12VDC","Relay_DPDT_Omron_G5V-2",90.000000,-80.000000,0.000000,top
"P301","P301","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",38.000000,-50.000000,90.000000,top
"P302","P302","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",122.000000,-48.000000,-90.000000,top
"P303","P303","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",38.000000,-66.000000,90.000000,top
"P304","P304","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",122.000000,-64.000000,-90.000000,top
"P305","P305","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",122.000000,-80.000000,-90.000000,top
"P306","JXFD-PWR B3P-VH-B","JST_VH_B3P-VH_1x03_P3.96mm_Vertical",38.000000,-82.000000,90.000000,top
"P307","P307","JST_XH_B10B-XH-A_1x10_P2.50mm_Vertical",62.000000,-94.000000,0.000000,top
"R301","20k","R_0805_2012Metric",52.000000,-40.000000,0.000000,top
"R302","20k","R_0805_2012Metric",52.000000,-64.000000,0.000000,top
"R309","20k","R_0805_2012Metric",60.000000,-40.000000,0.000000,top
"R310","20k","R_0805_2012Metric",60.000000,-64.000000,0.000000,top
"R311","100","R_0805_2012Metric",68.000000,-40.000000,0.000000,top
"R312","100","R_0805_2012Metric",68.000000,-64.000000,0.000000,top
"R321","20k","R_0805_2012Metric",86.000000,-40.000000,0.000000,top
"R322","20k","R_0805_2012Metric",86.000000,-64.000000,0.000000,top
"R323","20k","R_0805_2012Metric",94.000000,-40.000000,0.000000,top
"R324","20k","R_0805_2012Metric",94.000000,-64.000000,0.000000,top
"R325","10k","R_0805_2012Metric",102.000000,-40.000000,0.000000,top
"R326","10k","R_0805_2012Metric",102.000000,-64.000000,0.000000,top
"R331","100","R_0805_2012Metric",112.000000,-82.000000,0.000000,top
"R332","100","R_0805_2012Metric",112.000000,-88.000000,0.000000,top
"R341","100","R_0805_2012Metric",106.000000,-52.000000,0.000000,top
"R342","100","R_0805_2012Metric",114.000000,-52.000000,0.000000,top
"R351","240","R_1206_3216Metric",72.000000,-80.000000,0.000000,top
"U301","OPA1679IDR","SOIC-14_3.9x8.7mm_P1.27mm",70.000000,-52.000000,0.000000,top
