"Reference","Quantity","Value","Footprint","Manufacturer","MPN","Description","AssemblyScope","DNP"
"C291,C292,C295,C296,C297","5","100n","C_0805_2012Metric","","","100n (C_0805_2012Metric)","",""
"C293,C294","2","22u","C_1210_3225Metric","","","22u (C_1210_3225Metric)","",""
"D261,D262","2","1N4148W","D_SOD-123","","1N4148W","100V 300mA SOD-123 switching diode","",""
"K201,K202,K203,K204","4","G5V-2 DC5","Relay_DPDT_Omron_G5V-2","Omron Electronics","G6K-2F-Y-DC5","DPDT low-signal relay, 5V coil","SMD",""
"P201","1","P201","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","JST Sales America Inc.","B3B-XH-A","3-position 2.50mm through-hole header","TH",""
"P202","1","P202","JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","JST Sales America Inc.","B6B-XH-A","6-position 2.50mm through-hole header","TH",""
"P203","1","P203","JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","JST Sales America Inc.","B6B-XH-A","6-position 2.50mm through-hole header","TH",""
"P204","1","P204","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","JST Sales America Inc.","B3B-XH-A","3-position 2.50mm through-hole header","TH",""
"P205","1","P205","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","JST Sales America Inc.","B3B-XH-A","3-position 2.50mm through-hole header","TH",""
"P206","1","P206","JST_XH_B10B-XH-A_1x10_P2.50mm_Vertical","JST","B10B-XH-A","JST B10B-XH-A shrouded header","",""
"P207","1","P207","JST_VH_B4P-VH_1x04_P3.96mm_Vertical","JST Sales America Inc.","B4P-VH-B","4-position 3.96mm through-hole header","TH",""
"R201,R205,R206,R221,R225,R226","6","100","R_0805_2012Metric","","","100 (R_0805_2012Metric)","",""
"R202,R203,R204,R207,R208,R209,R222,R223,R224,R227,R228,R229","12","20k","R_0805_2012Metric","","","20k (R_0805_2012Metric)","",""
"R211,R231","2","100k","R_0805_2012Metric","","","100k (R_0805_2012Metric)","",""
"R212,R232","2","0","R_0805_2012Metric","","","0 (R_0805_2012Metric)","",""
"R241,R251","2","20k","R_0805_2012Metric","","","20k (R_0805_2012Metric)","","DNP"
"U201","1","OPA1679IDR","SOIC-14_3.9x8.7mm_P1.27mm","Texas Instruments","OPA1679IDR","Quad audio op amp","SMD",""
"U202","1","OPA1656IDR","SOIC-8_3.9x4.9mm_P1.27mm","Texas Instruments","OPA1656IDR","Dual audio op amp, SOIC-8","SMD",""
