"Reference","Value","Footprint","DNP"
"C291","100n","Capacitor_SMD:C_0805_2012Metric",""
"C292","100n","Capacitor_SMD:C_0805_2012Metric",""
"C293","22u","Capacitor_SMD:C_1210_3225Metric",""
"C294","22u","Capacitor_SMD:C_1210_3225Metric",""
"C295","100n","Capacitor_SMD:C_0805_2012Metric",""
"C296","100n","Capacitor_SMD:C_0805_2012Metric",""
"C297","100n","Capacitor_SMD:C_0805_2012Metric",""
"D261","1N4148W","Diode_SMD:D_SOD-123",""
"D262","1N4148W","Diode_SMD:D_SOD-123",""
"K201","G5V-2 DC5","Relay_THT:Relay_DPDT_Omron_G5V-2",""
"K202","G5V-2 DC5","Relay_THT:Relay_DPDT_Omron_G5V-2",""
"K203","G5V-2 DC5","Relay_THT:Relay_DPDT_Omron_G5V-2",""
"K204","G5V-2 DC5","Relay_THT:Relay_DPDT_Omron_G5V-2",""
"P201","P201","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",""
"P202","P202","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical",""
"P203","P203","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical",""
"P204","P204","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",""
"P205","P205","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",""
"P206","P206","Connector_JST:JST_XH_B10B-XH-A_1x10_P2.50mm_Vertical",""
"P207","P207","Connector_JST:JST_VH_B4P-VH_1x04_P3.96mm_Vertical",""
"R201","100","Resistor_SMD:R_0805_2012Metric",""
"R202","20k","Resistor_SMD:R_0805_2012Metric",""
"R203","20k","Resistor_SMD:R_0805_2012Metric",""
"R204","20k","Resistor_SMD:R_0805_2012Metric",""
"R205","100","Resistor_SMD:R_0805_2012Metric",""
"R206","100","Resistor_SMD:R_0805_2012Metric",""
"R207","20k","Resistor_SMD:R_0805_2012Metric",""
"R208","20k","Resistor_SMD:R_0805_2012Metric",""
"R209","20k","Resistor_SMD:R_0805_2012Metric",""
"R211","100k","Resistor_SMD:R_0805_2012Metric",""
"R212","0","Resistor_SMD:R_0805_2012Metric",""
"R221","100","Resistor_SMD:R_0805_2012Metric",""
"R222","20k","Resistor_SMD:R_0805_2012Metric",""
"R223","20k","Resistor_SMD:R_0805_2012Metric",""
"R224","20k","Resistor_SMD:R_0805_2012Metric",""
"R225","100","Resistor_SMD:R_0805_2012Metric",""
"R226","100","Resistor_SMD:R_0805_2012Metric",""
"R227","20k","Resistor_SMD:R_0805_2012Metric",""
"R228","20k","Resistor_SMD:R_0805_2012Metric",""
"R229","20k","Resistor_SMD:R_0805_2012Metric",""
"R231","100k","Resistor_SMD:R_0805_2012Metric",""
"R232","0","Resistor_SMD:R_0805_2012Metric",""
"R241","20k","Resistor_SMD:R_0805_2012Metric","DNP"
"R251","20k","Resistor_SMD:R_0805_2012Metric","DNP"
"U201","OPA1679IDR","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm",""
"U202","OPA1656IDR","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
