Ref,Val,Package,PosX,PosY,Rot,Side
"C291","100n","C_0805_2012Metric",50.000000,-68.000000,0.000000,top
"C292","100n","C_0805_2012Metric",57.000000,-68.000000,0.000000,top
"C293","22u","C_1210_3225Metric",64.000000,-68.000000,0.000000,top
"C294","22u","C_1210_3225Metric",71.000000,-68.000000,0.000000,top
"C295","100n","C_0805_2012Metric",78.000000,-68.000000,0.000000,top
"C296","100n","C_0805_2012Metric",85.000000,-68.000000,0.000000,top
"C297","100n","C_0805_2012Metric",92.000000,-68.000000,0.000000,top
"D261","1N4148W","D_SOD-123",104.000000,-64.000000,0.000000,top
"D262","1N4148W","D_SOD-123",112.000000,-64.000000,0.000000,top
"K201","G5V-2 DC5","Relay_DPDT_Omron_G5V-2",116.000000,-46.000000,90.000000,top
"K202","G5V-2 DC5","Relay_DPDT_Omron_G5V-2",116.000000,-78.000000,90.000000,top
"K203","G5V-2 DC5","Relay_DPDT_Omron_G5V-2",116.000000,-62.000000,90.000000,top
"K204","G5V-2 DC5","Relay_DPDT_Omron_G5V-2",116.000000,-94.000000,90.000000,top
"P201","P201","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",38.000000,-50.000000,90.000000,top
"P202","P202","JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical",142.000000,-44.000000,-90.000000,top
"P203","P203","JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical",142.000000,-70.000000,-90.000000,top
"P204","P204","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",92.000000,-102.000000,0.000000,top
"P205","P205","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",38.000000,-66.000000,90.000000,top
"P206","P206","JST_XH_B10B-XH-A_1x10_P2.50mm_Vertical",56.000000,-102.000000,0.000000,top
"P207","P207","JST_VH_B4P-VH_1x04_P3.96mm_Vertical",38.000000,-84.000000,90.000000,top
"R201","100","R_0805_2012Metric",94.000000,-40.000000,0.000000,top
"R202","20k","R_0805_2012Metric",50.000000,-40.000000,0.000000,top
"R203","20k","R_0805_2012Metric",58.000000,-40.000000,0.000000,top
"R204","20k","R_0805_2012Metric",51.000000,-46.000000,0.000000,top
"R205","100","R_0805_2012Metric",74.000000,-40.000000,0.000000,top
"R206","100","R_0805_2012Metric",99.000000,-52.000000,0.000000,top
"R207","20k","R_0805_2012Metric",44.000000,-46.000000,0.000000,top
"R208","20k","R_0805_2012Metric",58.000000,-46.000000,0.000000,top
"R209","20k","R_0805_2012Metric",66.000000,-40.000000,0.000000,top
"R211","100k","R_0805_2012Metric",78.000000,-52.000000,0.000000,top
"R212","0","R_0805_2012Metric",85.000000,-52.000000,0.000000,top
"R221","100","R_0805_2012Metric",94.000000,-90.000000,0.000000,top
"R222","20k","R_0805_2012Metric",50.000000,-90.000000,0.000000,top
"R223","20k","R_0805_2012Metric",58.000000,-90.000000,0.000000,top
"R224","20k","R_0805_2012Metric",51.000000,-58.000000,0.000000,top
"R225","100","R_0805_2012Metric",74.000000,-90.000000,0.000000,top
"R226","100","R_0805_2012Metric",99.000000,-70.000000,0.000000,top
"R227","20k","R_0805_2012Metric",44.000000,-58.000000,0.000000,top
"R228","20k","R_0805_2012Metric",58.000000,-58.000000,0.000000,top
"R229","20k","R_0805_2012Metric",66.000000,-90.000000,0.000000,top
"R231","100k","R_0805_2012Metric",78.000000,-70.000000,0.000000,top
"R232","0","R_0805_2012Metric",85.000000,-70.000000,0.000000,top
"R241","20k","R_0805_2012Metric",92.000000,-52.000000,0.000000,top
"R251","20k","R_0805_2012Metric",92.000000,-70.000000,0.000000,top
"U201","OPA1679IDR","SOIC-14_3.9x8.7mm_P1.27mm",66.000000,-60.000000,0.000000,top
"U202","OPA1656IDR","SOIC-8_3.9x4.9mm_P1.27mm",52.000000,-52.000000,0.000000,top
