"Reference","Quantity","Value","Footprint","Manufacturer","MPN","Description","AssemblyScope","DNP"
"C401,C421","2","47n","C_1210_3225Metric","","","47n (C_1210_3225Metric)","",""
"C403,C406,C407,C423,C426,C427","6","10n","C_1210_3225Metric","","","10n (C_1210_3225Metric)","",""
"C405,C425","2","47p","C_0805_2012Metric","","","47p (C_0805_2012Metric)","","DNP"
"C591,C592,C593,C594","4","100n","C_0805_2012Metric","","","100n (C_0805_2012Metric)","",""
"C595,C596","2","22u","C_1210_3225Metric","","","22u (C_1210_3225Metric)","",""
"D401,D402,D403,D404,D421,D422","6","1N4148W","D_SOD-123","","1N4148W","100V 300mA SOD-123 switching diode","",""
"D405,D406,D407,D408","4","LED red","LED_0805_2012Metric","","","LED red (LED_0805_2012Metric)","",""
"D409,D410,D411,D412","4","1N5819HW","D_SOD-123","","1N5819HW","40V 1A SOD-123 Schottky diode","",""
"K401,K402,K403","3","G5V-2 DC5","Relay_DPDT_Omron_G5V-2","Omron","G5V-2 DC5","DPDT signal relay, 5VDC coil","",""
"P401","1","JXF-FILT B3B-XH-A","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","JST Sales America Inc.","B3B-XH-A","3-position 2.50mm through-hole header","TH",""
"P402","1","JFILT-WET B3B-XH-A","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","JST Sales America Inc.","B3B-XH-A","3-position 2.50mm through-hole header","TH",""
"P403","1","JFILT-CTL-A B12B-XH-A","JST_XH_B12B-XH-A_1x12_P2.50mm_Vertical","JST","B12B-XH-A","JST B12B-XH-A shrouded header","",""
"P404","1","JFILT-PWR B3P-VH-B","JST_VH_B3P-VH_1x03_P3.96mm_Vertical","JST Sales America Inc.","B3P-VH-B","3-position 3.96mm through-hole header","TH",""
"P405","1","JFILT-CTL-B B12B-XH-A","JST_XH_B12B-XH-A_1x12_P2.50mm_Vertical","JST","B12B-XH-A","JST B12B-XH-A shrouded header","",""
"R401,R406,R421,R426","4","1k","R_0805_2012Metric","","","1k (R_0805_2012Metric)","",""
"R402,R407,R422,R427","4","47k","R_0805_2012Metric","","","47k (R_0805_2012Metric)","",""
"R403,R423","2","39k","R_0805_2012Metric","","","39k (R_0805_2012Metric)","",""
"R404,R424","2","10k","R_0805_2012Metric","","","10k (R_0805_2012Metric)","",""
"R405,R425","2","4.7k","R_0805_2012Metric","","","4.7k (R_0805_2012Metric)","",""
"R408","1","100","R_0805_2012Metric","","","100 (R_0805_2012Metric)","",""
"R428","1","100","R_0805_2012M","","","100 (R_0805_2012M)","",""
