"Reference","Value","Footprint","DNP"
"C401","47n","Capacitor_SMD:C_1210_3225Metric",""
"C403","10n","Capacitor_SMD:C_1210_3225Metric",""
"C405","47p","Capacitor_SMD:C_0805_2012Metric","DNP"
"C406","10n","Capacitor_SMD:C_1210_3225Metric",""
"C407","10n","Capacitor_SMD:C_1210_3225Metric",""
"C421","47n","Capacitor_SMD:C_1210_3225Metric",""
"C423","10n","Capacitor_SMD:C_1210_3225Metric",""
"C425","47p","Capacitor_SMD:C_0805_2012Metric","DNP"
"C426","10n","Capacitor_SMD:C_1210_3225Metric",""
"C427","10n","Capacitor_SMD:C_1210_3225Metric",""
"C591","100n","Capacitor_SMD:C_0805_2012Metric",""
"C592","100n","Capacitor_SMD:C_0805_2012Metric",""
"C593","100n","Capacitor_SMD:C_0805_2012Metric",""
"C594","100n","Capacitor_SMD:C_0805_2012Metric",""
"C595","22u","Capacitor_SMD:C_1210_3225Metric",""
"C596","22u","Capacitor_SMD:C_1210_3225Metric",""
"D401","1N4148W","Diode_SMD:D_SOD-123",""
"D402","1N4148W","Diode_SMD:D_SOD-123",""
"D403","1N4148W","Diode_SMD:D_SOD-123",""
"D404","1N4148W","Diode_SMD:D_SOD-123",""
"D405","LED red","LED_SMD:LED_0805_2012Metric",""
"D406","LED red","LED_SMD:LED_0805_2012Metric",""
"D407","LED red","LED_SMD:LED_0805_2012Metric",""
"D408","LED red","LED_SMD:LED_0805_2012Metric",""
"D409","1N5819HW","Diode_SMD:D_SOD-123",""
"D410","1N5819HW","Diode_SMD:D_SOD-123",""
"D411","1N5819HW","Diode_SMD:D_SOD-123",""
"D412","1N5819HW","Diode_SMD:D_SOD-123",""
"D421","1N4148W","Diode_SMD:D_SOD-123",""
"D422","1N4148W","Diode_SMD:D_SOD-123",""
"K401","G5V-2 DC5","Relay_THT:Relay_DPDT_Omron_G5V-2",""
"K402","G5V-2 DC5","Relay_THT:Relay_DPDT_Omron_G5V-2",""
"K403","G5V-2 DC5","Relay_THT:Relay_DPDT_Omron_G5V-2",""
"P401","JXF-FILT B3B-XH-A","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",""
"P402","JFILT-WET B3B-XH-A","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",""
"P403","JFILT-CTL-A B12B-XH-A","Connector_JST:JST_XH_B12B-XH-A_1x12_P2.50mm_Vertical",""
"P404","JFILT-PWR B3P-VH-B","Connector_JST:JST_VH_B3P-VH_1x03_P3.96mm_Vertical",""
"P405","JFILT-CTL-B B12B-XH-A","Connector_JST:JST_XH_B12B-XH-A_1x12_P2.50mm_Vertical",""
"R401","1k","Resistor_SMD:R_0805_2012Metric",""
"R402","47k","Resistor_SMD:R_0805_2012Metric",""
"R403","39k","Resistor_SMD:R_0805_2012Metric",""
"R404","10k","Resistor_SMD:R_0805_2012Metric",""
"R405","4.7k","Resistor_SMD:R_0805_2012Metric",""
"R406","1k","Resistor_SMD:R_0805_2012Metric",""
"R407","47k","Resistor_SMD:R_0805_2012Metric",""
"R408","100","Resistor_SMD:R_0805_2012Metric",""
"R421","1k","Resistor_SMD:R_0805_2012Metric",""
"R422","47k","Resistor_SMD:R_0805_2012Metric",""
"R423","39k","Resistor_SMD:R_0805_2012Metric",""
"R424","10k","Resistor_SMD:R_0805_2012Metric",""
"R425","4.7k","Resistor_SMD:R_0805_2012Metric",""
"R426","1k","Resistor_SMD:R_0805_2012Metric",""
"R427","47k","Resistor_SMD:R_0805_2012Metric",""
"R428","100","Resistor_SMD:R_0805_2012Metric",""
"R432","100","Resistor_SMD:R_0805_2012Metric",""
"U401","OPA1679IDR","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm",""
"U402","OPA1679IDR","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm",""
