Ref,Val,Package,PosX,PosY,Rot,Side
"C401","47n","C_1210_3225Metric",48.000000,-40.000000,0.000000,top
"C403","10n","C_1210_3225Metric",78.000000,-40.000000,0.000000,top
"C405","47p","C_0805_2012Metric",104.000000,-40.000000,0.000000,top
"C406","10n","C_1210_3225Metric",96.000000,-52.000000,0.000000,top
"C407","10n","C_1210_3225Metric",112.000000,-52.000000,0.000000,top
"C421","47n","C_1210_3225Metric",48.000000,-92.000000,0.000000,top
"C423","10n","C_1210_3225Metric",78.000000,-92.000000,0.000000,top
"C425","47p","C_0805_2012Metric",104.000000,-85.000000,0.000000,top
"C426","10n","C_1210_3225Metric",96.000000,-99.000000,0.000000,top
"C427","10n","C_1210_3225Metric",112.000000,-99.000000,0.000000,top
"C591","100n","C_0805_2012Metric",50.000000,-68.000000,0.000000,top
"C592","100n","C_0805_2012Metric",58.000000,-68.000000,0.000000,top
"C593","100n","C_0805_2012Metric",50.000000,-74.000000,0.000000,top
"C594","100n","C_0805_2012Metric",58.000000,-74.000000,0.000000,top
"C595","22u","C_1210_3225Metric",50.000000,-58.000000,0.000000,top
"C596","22u","C_1210_3225Metric",58.000000,-58.000000,0.000000,top
"D401","1N4148W","D_SOD-123",118.000000,-40.000000,0.000000,top
"D402","1N4148W","D_SOD-123",118.000000,-47.000000,0.000000,top
"D403","1N4148W","D_SOD-123",118.000000,-92.000000,0.000000,top
"D404","1N4148W","D_SOD-123",118.000000,-99.000000,0.000000,top
"D405","LED red","LED_0805_2012Metric",126.000000,-40.000000,0.000000,top
"D406","LED red","LED_0805_2012Metric",126.000000,-47.000000,0.000000,top
"D407","LED red","LED_0805_2012Metric",126.000000,-92.000000,0.000000,top
"D408","LED red","LED_0805_2012Metric",126.000000,-99.000000,0.000000,top
"D409","1N5819HW","D_SOD-123",134.000000,-40.000000,0.000000,top
"D410","1N5819HW","D_SOD-123",134.000000,-47.000000,0.000000,top
"D411","1N5819HW","D_SOD-123",134.000000,-92.000000,0.000000,top
"D412","1N5819HW","D_SOD-123",134.000000,-99.000000,0.000000,top
"D421","1N4148W","D_SOD-123",134.000000,-60.000000,0.000000,top
"D422","1N4148W","D_SOD-123",134.000000,-67.000000,0.000000,top
"K401","G5V-2 DC5","Relay_DPDT_Omron_G5V-2",148.000000,-56.000000,90.000000,top
"K402","G5V-2 DC5","Relay_DPDT_Omron_G5V-2",148.000000,-74.000000,90.000000,top
"K403","G5V-2 DC5","Relay_DPDT_Omron_G5V-2",148.000000,-92.000000,90.000000,top
"P401","JXF-FILT B3B-XH-A","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",38.000000,-50.000000,90.000000,top
"P402","JFILT-WET B3B-XH-A","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",162.000000,-102.000000,-90.000000,top
"P403","JFILT-CTL-A B12B-XH-A","JST_XH_B12B-XH-A_1x12_P2.50mm_Vertical",52.000000,-112.000000,0.000000,top
"P404","JFILT-PWR B3P-VH-B","JST_VH_B3P-VH_1x03_P3.96mm_Vertical",38.000000,-80.000000,90.000000,top
"P405","JFILT-CTL-B B12B-XH-A","JST_XH_B12B-XH-A_1x12_P2.50mm_Vertical",108.000000,-112.000000,0.000000,top
"R401","1k","R_0805_2012Metric",58.000000,-40.000000,0.000000,top
"R402","47k","R_0805_2012Metric",68.000000,-40.000000,0.000000,top
"R403","39k","R_0805_2012Metric",88.000000,-40.000000,0.000000,top
"R404","10k","R_0805_2012Metric",96.000000,-40.000000,0.000000,top
"R405","4.7k","R_0805_2012Metric",112.000000,-40.000000,0.000000,top
"R406","1k","R_0805_2012Metric",88.000000,-52.000000,0.000000,top
"R407","47k","R_0805_2012Metric",104.000000,-52.000000,0.000000,top
"R408","100","R_0805_2012Metric",156.000000,-40.000000,0.000000,top
"R421","1k","R_0805_2012Metric",58.000000,-92.000000,0.000000,top
"R422","47k","R_0805_2012Metric",68.000000,-92.000000,0.000000,top
"R423","39k","R_0805_2012Metric",88.000000,-85.000000,0.000000,top
"R424","10k","R_0805_2012Metric",96.000000,-85.000000,0.000000,top
"R425","4.7k","R_0805_2012Metric",112.000000,-85.000000,0.000000,top
"R426","1k","R_0805_2012Metric",88.000000,-99.000000,0.000000,top
"R427","47k","R_0805_2012Metric",104.000000,-99.000000,0.000000,top
"R428","100","R_0805_2012Metric",150.000000,-106.000000,0.000000,top
"R432","100","R_0805_2012Metric",134.000000,-74.000000,0.000000,top
"U401","OPA1679IDR","SOIC-14_3.9x8.7mm_P1.27mm",68.000000,-66.000000,0.000000,top
"U402","OPA1679IDR","SOIC-14_3.9x8.7mm_P1.27mm",92.000000,-66.000000,0.000000,top
