"Reference","Quantity","Value","Footprint","Manufacturer","MPN","Description","AssemblyScope","DNP"
"C1,C2,C3,C4","4","220p","C_0805_2012Metric","","","220p (C_0805_2012Metric)","","DNP"
"C91,C92,C93,C94,C95,C96,C97,C98","8","100n","C_0805_2012Metric","","","100n (C_0805_2012Metric)","",""
"C99,C100","2","22u","C_1210_3225Metric","","","22u (C_1210_3225Metric)","",""
"J1","1","to L IN combo jack","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","JST","B3B-XH-A","JST B3B-XH-A header (harness to panel-mounted NCJ6FI-S)","TH",""
"J2","1","to R IN combo jack","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","JST","B3B-XH-A","JST B3B-XH-A header (harness to panel-mounted NCJ6FI-S)","TH",""
"J3","1","to L OUT combo jack","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","JST","B3B-XH-A","JST B3B-XH-A header (harness to panel-mounted NCJ6FI-S)","TH",""
"J4","1","to R OUT combo jack","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","JST","B3B-XH-A","JST B3B-XH-A header (harness to panel-mounted NCJ6FI-S)","TH",""
"P1","1","JIO-PWR B3P-VH-B","JST_VH_B3P-VH_1x03_P3.96mm_Vertical","JST Sales America Inc.","B3P-VH-B","3-position 3.96mm through-hole header","TH",""
"P2","1","P2","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","JST Sales America Inc.","B3B-XH-A","2.50mm JST XH-family header pricing placeholder","TH",""
"P3","1","P3","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","JST Sales America Inc.","B3B-XH-A","2.50mm JST XH-family header pricing placeholder","TH",""
"P4","1","P4","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","JST Sales America Inc.","B3B-XH-A","2.50mm JST XH-family header pricing placeholder","TH",""
"P5","1","P5","JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","JST","B6B-XH-A","JST B6B-XH-A shrouded header","",""
"P6","1","P6","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","JST","B3B-XH-A","JST B3B-XH-A shrouded header","",""
"R1,R2,R3,R4,R21,R22,R23,R24","8","100","R_0805_2012Metric","","","100 (R_0805_2012Metric)","",""
"R11,R12,R13,R14,R15,R16,R17,R18,R43,R44,R53,R54","12","10k","R_0805_2012Metric","","","10k (R_0805_2012Metric)","",""
"R25","1","1Meg","R_0805_2012Metric","","","1Meg (R_0805_2012Metric)","",""
"R31,R32,R35,R36","4","20k","R_0805_2012Metric","","","20k (R_0805_2012Metric)","",""
"R49,R50,R59,R60","4","49.9","R_0805_2012Metric","","","49.9 (R_0805_2012Metric)","",""
"U1","1","OPA1644AIDR","SOIC-14_3.9x8.7mm_","Texas Instruments","OPA1644AIDR","Quad JFET-input audio op amp","SMD",""
