"Reference","Value","Footprint"
"C1","220p","Capacitor_SMD:C_0805_2012Metric"
"C2","220p","Capacitor_SMD:C_0805_2012Metric"
"C3","220p","Capacitor_SMD:C_0805_2012Metric"
"C4","220p","Capacitor_SMD:C_0805_2012Metric"
"C91","100n","Capacitor_SMD:C_0805_2012Metric"
"C92","100n","Capacitor_SMD:C_0805_2012Metric"
"C93","100n","Capacitor_SMD:C_0805_2012Metric"
"C94","100n","Capacitor_SMD:C_0805_2012Metric"
"C95","100n","Capacitor_SMD:C_0805_2012Metric"
"C96","100n","Capacitor_SMD:C_0805_2012Metric"
"C97","100n","Capacitor_SMD:C_0805_2012Metric"
"C98","100n","Capacitor_SMD:C_0805_2012Metric"
"C99","22u","Capacitor_SMD:C_1210_3225Metric"
"C100","22u","Capacitor_SMD:C_1210_3225Metric"
"J1","to L IN combo jack","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical"
"J2","to R IN combo jack","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical"
"J3","to L OUT combo jack","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical"
"J4","to R OUT combo jack","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical"
"P1","JIO-PWR B3P-VH-B","Connector_JST:JST_VH_B3P-VH_1x03_P3.96mm_Vertical"
"P2","P2","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical"
"P3","P3","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical"
"P4","P4","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical"
"P5","P5","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical"
"P6","P6","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical"
"R1","100","Resistor_SMD:R_0805_2012Metric"
"R2","100","Resistor_SMD:R_0805_2012Metric"
"R3","100","Resistor_SMD:R_0805_2012Metric"
"R4","100","Resistor_SMD:R_0805_2012Metric"
"R11","10k","Resistor_SMD:R_0805_2012Metric"
"R12","10k","Resistor_SMD:R_0805_2012Metric"
"R13","10k","Resistor_SMD:R_0805_2012Metric"
"R14","10k","Resistor_SMD:R_0805_2012Metric"
"R15","10k","Resistor_SMD:R_0805_2012Metric"
"R16","10k","Resistor_SMD:R_0805_2012Metric"
"R17","10k","Resistor_SMD:R_0805_2012Metric"
"R18","10k","Resistor_SMD:R_0805_2012Metric"
"R21","100","Resistor_SMD:R_0805_2012Metric"
"R22","100","Resistor_SMD:R_0805_2012Metric"
"R23","100","Resistor_SMD:R_0805_2012Metric"
"R24","100","Resistor_SMD:R_0805_2012Metric"
"R25","1Meg","Resistor_SMD:R_0805_2012Metric"
"R31","20k","Resistor_SMD:R_0805_2012Metric"
"R32","20k","Resistor_SMD:R_0805_2012Metric"
"R35","20k","Resistor_SMD:R_0805_2012Metric"
"R36","20k","Resistor_SMD:R_0805_2012Metric"
"R43","10k","Resistor_SMD:R_0805_2012Metric"
"R44","10k","Resistor_SMD:R_0805_2012Metric"
"R49","49.9","Resistor_SMD:R_0805_2012Metric"
"R50","49.9","Resistor_SMD:R_0805_2012Metric"
"R53","10k","Resistor_SMD:R_0805_2012Metric"
"R54","10k","Resistor_SMD:R_0805_2012Metric"
"R59","49.9","Resistor_SMD:R_0805_2012Metric"
"R60","49.9","Resistor_SMD:R_0805_2012Metric"
"U1","OPA1644AIDR","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm"
"U2","OPA1656IDR","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm"
"U3","OPA1656IDR","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm"
"U4","OPA1656IDR","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm"
