Ref,Val,Package,PosX,PosY,Rot,Side
"C1","220p","C_0805_2012Metric",60.000000,-46.000000,0.000000,top
"C2","220p","C_0805_2012Metric",67.000000,-46.000000,0.000000,top
"C3","220p","C_0805_2012Metric",90.000000,-46.000000,0.000000,top
"C4","220p","C_0805_2012Metric",97.000000,-46.000000,0.000000,top
"C91","100n","C_0805_2012Metric",46.000000,-86.000000,0.000000,top
"C92","100n","C_0805_2012Metric",53.000000,-86.000000,0.000000,top
"C93","100n","C_0805_2012Metric",60.000000,-86.000000,0.000000,top
"C94","100n","C_0805_2012Metric",67.000000,-86.000000,0.000000,top
"C95","100n","C_0805_2012Metric",74.000000,-86.000000,0.000000,top
"C96","100n","C_0805_2012Metric",81.000000,-86.000000,0.000000,top
"C97","100n","C_0805_2012Metric",88.000000,-86.000000,0.000000,top
"C98","100n","C_0805_2012Metric",95.000000,-86.000000,0.000000,top
"C99","22u","C_1210_3225Metric",114.000000,-72.000000,0.000000,top
"C100","22u","C_1210_3225Metric",122.000000,-72.000000,0.000000,top
"J1","to L IN combo jack","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",50.000000,-38.000000,0.000000,top
"J2","to R IN combo jack","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",72.000000,-38.000000,0.000000,top
"J3","to L OUT combo jack","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",142.000000,-38.000000,0.000000,top
"J4","to R OUT combo jack","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",164.000000,-38.000000,0.000000,top
"P1","JIO-PWR B3P-VH-B","JST_VH_B3P-VH_1x03_P3.96mm_Vertical",38.000000,-64.000000,90.000000,top
"P2","P2","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",64.000000,-97.000000,0.000000,top
"P3","P3","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",84.000000,-97.000000,0.000000,top
"P4","P4","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",104.000000,-97.000000,0.000000,top
"P5","P5","JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical",124.000000,-97.000000,0.000000,top
"P6","P6","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",158.000000,-97.000000,0.000000,top
"R1","100","R_0805_2012Metric",46.000000,-46.000000,0.000000,top
"R2","100","R_0805_2012Metric",53.000000,-46.000000,0.000000,top
"R3","100","R_0805_2012Metric",76.000000,-46.000000,0.000000,top
"R4","100","R_0805_2012Metric",83.000000,-46.000000,0.000000,top
"R11","10k","R_0805_2012Metric",46.000000,-54.000000,0.000000,top
"R12","10k","R_0805_2012Metric",53.000000,-54.000000,0.000000,top
"R13","10k","R_0805_2012Metric",60.000000,-54.000000,0.000000,top
"R14","10k","R_0805_2012Metric",67.000000,-54.000000,0.000000,top
"R15","10k","R_0805_2012Metric",76.000000,-54.000000,0.000000,top
"R16","10k","R_0805_2012Metric",83.000000,-54.000000,0.000000,top
"R17","10k","R_0805_2012Metric",90.000000,-54.000000,0.000000,top
"R18","10k","R_0805_2012Metric",97.000000,-54.000000,0.000000,top
"R21","100","R_0805_2012Metric",46.000000,-72.000000,0.000000,top
"R22","100","R_0805_2012Metric",53.000000,-72.000000,0.000000,top
"R23","100","R_0805_2012Metric",60.000000,-72.000000,0.000000,top
"R24","100","R_0805_2012Metric",67.000000,-72.000000,0.000000,top
"R31","20k","R_0805_2012Metric",88.000000,-82.000000,0.000000,top
"R32","20k","R_0805_2012Metric",102.000000,-82.000000,0.000000,top
"R35","20k","R_0805_2012Metric",95.000000,-82.000000,0.000000,top
"R36","20k","R_0805_2012Metric",109.000000,-82.000000,0.000000,top
"R43","10k","R_0805_2012Metric",122.000000,-46.000000,0.000000,top
"R44","10k","R_0805_2012Metric",129.000000,-46.000000,0.000000,top
"R49","49.9","R_0805_2012Metric",136.000000,-46.000000,0.000000,top
"R50","49.9","R_0805_2012Metric",143.000000,-46.000000,0.000000,top
"R53","10k","R_0805_2012Metric",152.000000,-46.000000,0.000000,top
"R54","10k","R_0805_2012Metric",159.000000,-46.000000,0.000000,top
"R59","49.9","R_0805_2012Metric",166.000000,-46.000000,0.000000,top
"R60","49.9","R_0805_2012Metric",173.000000,-46.000000,0.000000,top
"U1","OPA1644AIDR","SOIC-14_3.9x8.7mm_P1.27mm",66.000000,-60.000000,0.000000,top
"U2","OPA1656IDR","SOIC-8_3.9x4.9mm_P1.27mm",100.000000,-72.000000,0.000000,top
"U3","OPA1656IDR","SOIC-8_3.9x4.9mm_P1.27mm",134.000000,-58.000000,0.000000,top
"U4","OPA1656IDR","SOIC-8_3.9x4.9mm_P1.27mm",162.000000,-58.000000,0.000000,top
