"Reference","Quantity","Value","Footprint","Manufacturer","MPN","Description","AssemblyScope","DNP"
"C500","1","220u","CP_Radial_D10.0mm_P5.00mm","","","220u (CP_Radial_D10.0mm_P5.00mm)","",""
"C501,C504","2","100u","CP_Radial_D6.3mm_P2.50mm","","","100u (CP_Radial_D6.3mm_P2.50mm)","",""
"C502,C505,C512","3","10u","C_1206_3216Metric","","","10u (C_1206_3216Metric)","",""
"C503,C506","2","100n","C_1206_3216Metric","","","100n (C_1206_3216Metric)","",""
"C507","1","47u","CP_Radial_D6.3mm_P2.50mm","","","47u (CP_Radial_D6.3mm_P2.50mm)","",""
"C508","1","100n","C_0805_2012Metric","","","100n (C_0805_2012Metric)","",""
"C509","1","100u","CP_Radial_D10.0mm_P5.00mm","","","100u (CP_Radial_D10.0mm_P5.00mm)","",""
"C510,C511","2","10u","CP_Radial_D6.3mm_P2.50mm","","","10u (CP_Radial_D6.3mm_P2.50mm)","",""
"D500","1","SS34","D_SMA","","SS34","40V 3A SMA Schottky diode","",""
"F500","1","1.1A PTC MF-MSMF110","Fuse_1812_4532Metric","Bourns","MF-MSMF110-2","1.1A resettable PTC fuse 1812","",""
"FB500,FB501","2","BLM18PG471SN1","L_0603_1608Metric","Murata","BLM18PG471SN1D","470 ohm 0603 ferrite bead","",""
"P500","1","P500","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","JST","B2B-XH-A","JST B2B-XH-A shrouded header","",""
"P501","1","P501","JST_VH_B3P-VH_1x03_P3.96mm_Vertical","JST","B3P-VH","JST B3P-VH shrouded header","",""
"P502","1","P502","JST_VH_B3P-VH_1x03_P3.96mm_Vertical","JST","B3P-VH","JST B3P-VH shrouded header","",""
"P503","1","P503","JST_VH_B3P-VH_1x03_P3.96mm_Vertical","JST","B3P-VH","JST B3P-VH shrouded header","",""
"P504","1","P504","JST_VH_B3P-VH_1x03_P3.96mm_Vertical","JST","B3P-VH","JST B3P-VH shrouded header","",""
"P505","1","P505","JST_VH_B3P-VH_1x03_P3.96mm_Vertical","JST","B3P-VH","JST B3P-VH shrouded header","",""
"P506","1","P506","JST_VH_B4P-VH_1x04_P3.96mm_Vertical","JST","B4P-VH","JST B4P-VH shrouded header","",""
"P601","1","P601","JST_VH_B4P-VH_1x04_P3.96mm_Vertical","JST","B4P-VH","JST B4P-VH shrouded header","",""
"PS500","1","URA2415YMD-10WR3","URA_YMD-10WR3","Mornsun","URA2415YMD-10WR3","Isolated DC-DC module, 9-36V in (24V nominal), +/-15V dual at 10W out","SMD-or-module",""
"PS501","1","R-78E5.0-0.5","Converter_DCDC_RECOM_R-78E-0.5_TH","RECOM","R-78E5.0-0.5","Switching regulator module, +5V/500mA out","SMD-or-module",""
