"Reference","Value","Footprint","DNP"
"C500","220u","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm",""
"C501","100u","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"C502","10u","Capacitor_SMD:C_1206_3216Metric",""
"C503","100n","Capacitor_SMD:C_1206_3216Metric",""
"C504","100u","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"C505","10u","Capacitor_SMD:C_1206_3216Metric",""
"C506","100n","Capacitor_SMD:C_1206_3216Metric",""
"C507","47u","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"C508","100n","Capacitor_SMD:C_0805_2012Metric",""
"C509","100u","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm",""
"C510","10u","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"C511","10u","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"C512","10u","Capacitor_SMD:C_1206_3216Metric",""
"D500","SS34","Diode_SMD:D_SMA",""
"F500","1.1A PTC MF-MSMF110","Fuse:Fuse_1812_4532Metric",""
"FB500","BLM18PG471SN1","Inductor_SMD:L_0603_1608Metric",""
"FB501","BLM18PG471SN1","Inductor_SMD:L_0603_1608Metric",""
"P500","P500","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"P501","P501","Connector_JST:JST_VH_B3P-VH_1x03_P3.96mm_Vertical",""
"P502","P502","Connector_JST:JST_VH_B3P-VH_1x03_P3.96mm_Vertical",""
"P503","P503","Connector_JST:JST_VH_B3P-VH_1x03_P3.96mm_Vertical",""
"P504","P504","Connector_JST:JST_VH_B3P-VH_1x03_P3.96mm_Vertical",""
"P505","P505","Connector_JST:JST_VH_B3P-VH_1x03_P3.96mm_Vertical",""
"P506","P506","Connector_JST:JST_VH_B4P-VH_1x04_P3.96mm_Vertical",""
"P601","P601","Connector_JST:JST_VH_B4P-VH_1x04_P3.96mm_Vertical",""
"PS500","URA2415YMD-10WR3","GAS:URA_YMD-10WR3",""
"PS501","R-78E5.0-0.5","Converter_DCDC:Converter_DCDC_RECOM_R-78E-0.5_THT",""
"R500","0","Resistor_SMD:R_1206_3216Metric",""
"TVS500","SMAJ33A","Diode_SMD:D_SMA",""
