Ref,Val,Package,PosX,PosY,Rot,Side
"C500","220u","CP_Radial_D10.0mm_P5.00mm",70.000000,-46.000000,0.000000,top
"C501","100u","CP_Radial_D6.3mm_P2.50mm",59.000000,-82.000000,0.000000,top
"C502","10u","C_1206_3216Metric",68.000000,-82.000000,0.000000,top
"C503","100n","C_1206_3216Metric",77.000000,-82.000000,0.000000,top
"C504","100u","CP_Radial_D6.3mm_P2.50mm",97.000000,-82.000000,0.000000,top
"C505","10u","C_1206_3216Metric",106.000000,-82.000000,0.000000,top
"C506","100n","C_1206_3216Metric",115.000000,-82.000000,0.000000,top
"C507","47u","CP_Radial_D6.3mm_P2.50mm",60.000000,-66.000000,0.000000,top
"C508","100n","C_0805_2012Metric",68.000000,-66.000000,0.000000,top
"C509","100u","CP_Radial_D10.0mm_P5.00mm",92.000000,-64.000000,0.000000,top
"C510","10u","CP_Radial_D6.3mm_P2.50mm",102.000000,-70.000000,0.000000,top
"C511","10u","CP_Radial_D6.3mm_P2.50mm",112.000000,-70.000000,0.000000,top
"C512","10u","C_1206_3216Metric",46.000000,-56.000000,0.000000,top
"D500","SS34","D_SMA",52.000000,-46.000000,0.000000,top
"F500","1.1A PTC MF-MSMF110","Fuse_1812_4532Metric",62.000000,-46.000000,0.000000,top
"FB500","BLM18PG471SN1","L_0603_1608Metric",50.000000,-82.000000,0.000000,top
"FB501","BLM18PG471SN1","L_0603_1608Metric",88.000000,-82.000000,0.000000,top
"P500","P500","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",38.000000,-46.000000,90.000000,top
"P501","P501","JST_VH_B3P-VH_1x03_P3.96mm_Vertical",62.000000,-100.000000,0.000000,top
"P502","P502","JST_VH_B3P-VH_1x03_P3.96mm_Vertical",78.000000,-100.000000,0.000000,top
"P503","P503","JST_VH_B3P-VH_1x03_P3.96mm_Vertical",94.000000,-100.000000,0.000000,top
"P504","P504","JST_VH_B3P-VH_1x03_P3.96mm_Vertical",110.000000,-100.000000,0.000000,top
"P505","P505","JST_VH_B3P-VH_1x03_P3.96mm_Vertical",126.000000,-100.000000,0.000000,top
"P506","P506","JST_VH_B4P-VH_1x04_P3.96mm_Vertical",138.000000,-58.000000,-90.000000,top
"P601","P601","JST_VH_B4P-VH_1x04_P3.96mm_Vertical",138.000000,-78.000000,-90.000000,top
"PS500","URA2415YMD-10WR3","URA_YMD-10WR3",116.000000,-50.000000,0.000000,top
"PS501","R-78E5.0-0.5","Converter_DCDC_RECOM_R-78E-0.5_THT",46.000000,-66.000000,0.000000,top
"R500","0","R_1206_3216Metric",126.000000,-74.000000,0.000000,top
"TVS500","SMAJ33A","D_SMA",84.000000,-46.000000,0.000000,top
