"Reference","Quantity","Value","Footprint","Manufacturer","MPN","Description","AssemblyScope","DNP"
"C101,C121","2","47n","C_1210_3225Metric","","","47n (C_1210_3225Metric)","",""
"C171,C172,C173,C174","4","68p","C_0805_2012Metric","","","68p (C_0805_2012Metric)","",""
"C175,C176,C177,C178","4","22n","C_1206_3216Metric","","","22n (C_1206_3216Metric)","","DNP"
"C191","1","1n","C_0805_2012Metric","","","1n (C_0805_2012Metric)","",""
"C291,C292,C293,C294,C295,C296,C297,C298","8","100n","C_0805_2012Metric","","","100n (C_0805_2012Metric)","",""
"C299,C300","2","22u","C_1210_3225Metric","","","22u (C_1210_3225Metric)","",""
"D101,D102,D121,D122","4","1N4148W","D_SOD-123","","1N4148W","100V 300mA SOD-123 switching diode","","DNP"
"J101","1","PRI L SEND","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","JST","B2B-XH-A","JST B2B-XH-A shrouded header","",""
"J102","1","PRI L RET","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","JST","B2B-XH-A","JST B2B-XH-A shrouded header","",""
"J103","1","PRI R SEND","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","JST","B2B-XH-A","JST B2B-XH-A shrouded header","",""
"J104","1","PRI R RET","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","JST","B2B-XH-A","JST B2B-XH-A shrouded header","",""
"J105","1","SEC L SEND","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","JST","B2B-XH-A","JST B2B-XH-A shrouded header","",""
"J106","1","SEC L RET","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","JST","B2B-XH-A","JST B2B-XH-A shrouded header","",""
"J107","1","SEC R SEND","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","JST","B2B-XH-A","JST B2B-XH-A shrouded header","",""
"J108","1","SEC R RET","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","JST","B2B-XH-A","JST B2B-XH-A shrouded header","",""
"P101","1","JTR-PRI B6B-XH-A","JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","JST Sales America Inc.","B6B-XH-A","6-position 2.50mm through-hole header","TH",""
"P102","1","JTR-SEC B6B-XH-A","JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","JST Sales America Inc.","B6B-XH-A","6-position 2.50mm through-hole header","TH",""
"P103","1","JTR-PWR B3P-VH-B","JST_VH_B3P-VH_1x03_P3.96mm_Vertical","JST Sales America Inc.","B3P-VH-B","3-position 3.96mm through-hole header","TH",""
"Q101,Q103","2","BD139-16","TO-126-3_Vertical","STMicroelectronics","BD139-16","NPN transistor, TO-126","TH",""
"Q102,Q104","2","BD140-16","TO-126-3_Vertical","STMicroelectronics","BD140-16","PNP transistor, TO-126","TH",""
"R101,R102,R121,R122","4","68","R_0805_2012Metric","","","68 (R_0805_2012Metric)","",""
"R103,R104,R123,R124","4","0.33","R_2512_6332Metric","","","0.33 (R_2512_6332Metric)","",""
"R105,R125","2","10","R_1206_3216Metric","","","10 (R_1206_3216Metric)","",""
"R106,R126,R175,R176,R177,R178","6","1k","R_0805_2012Metric","","","1k (R_0805_2012Metric)","",""
"R107,R108,R127,R128,R153,R154,R157,R158","8","10k","R_0805_2012Metric","","","10k (R_0805_2012Metric)","",""
"R151,R152","2","12k","R_0805_2012Metric","","","12k (R_0805_2012Metric)","",""
"R155,R156","2","220","R_0805_2012Metric","","","220 (R_0805_2012Metric)","",""
"R171,R172,R173,R174","4","2.2Meg","R_0805_2012Metric","","","2.2Meg (R_0805_2012Metric)","",""
"R179,R180,R181,R182","4","33k","R_0805_2012Metric","","","33k (R_0805_2012Metric)","",""
"R183,R184,R185,R186","4","0","R_0805_2012Metric","","","0 (R_0805_2012Metric)","",""
"R205","1","100","R_1206_3216Metric","","","100 (R_1206_3216Metric)","",""
"R2","1","","","",""," ()","",""
