"Reference","Value","Footprint","DNP"
"C101","47n","Capacitor_SMD:C_1210_3225Metric",""
"C121","47n","Capacitor_SMD:C_1210_3225Metric",""
"C171","68p","Capacitor_SMD:C_0805_2012Metric",""
"C172","68p","Capacitor_SMD:C_0805_2012Metric",""
"C173","68p","Capacitor_SMD:C_0805_2012Metric",""
"C174","68p","Capacitor_SMD:C_0805_2012Metric",""
"C175","22n","Capacitor_SMD:C_1206_3216Metric","DNP"
"C176","22n","Capacitor_SMD:C_1206_3216Metric","DNP"
"C177","22n","Capacitor_SMD:C_1206_3216Metric","DNP"
"C178","22n","Capacitor_SMD:C_1206_3216Metric","DNP"
"C191","1n","Capacitor_SMD:C_0805_2012Metric",""
"C291","100n","Capacitor_SMD:C_0805_2012Metric",""
"C292","100n","Capacitor_SMD:C_0805_2012Metric",""
"C293","100n","Capacitor_SMD:C_0805_2012Metric",""
"C294","100n","Capacitor_SMD:C_0805_2012Metric",""
"C295","100n","Capacitor_SMD:C_0805_2012Metric",""
"C296","100n","Capacitor_SMD:C_0805_2012Metric",""
"C297","100n","Capacitor_SMD:C_0805_2012Metric",""
"C298","100n","Capacitor_SMD:C_0805_2012Metric",""
"C299","22u","Capacitor_SMD:C_1210_3225Metric",""
"C300","22u","Capacitor_SMD:C_1210_3225Metric",""
"D101","1N4148W","Diode_SMD:D_SOD-123","DNP"
"D102","1N4148W","Diode_SMD:D_SOD-123","DNP"
"D121","1N4148W","Diode_SMD:D_SOD-123","DNP"
"D122","1N4148W","Diode_SMD:D_SOD-123","DNP"
"J101","PRI L SEND","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"J102","PRI L RET","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"J103","PRI R SEND","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"J104","PRI R RET","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"J105","SEC L SEND","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"J106","SEC L RET","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"J107","SEC R SEND","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"J108","SEC R RET","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"P101","JTR-PRI B6B-XH-A","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical",""
"P102","JTR-SEC B6B-XH-A","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical",""
"P103","JTR-PWR B3P-VH-B","Connector_JST:JST_VH_B3P-VH_1x03_P3.96mm_Vertical",""
"Q101","BD139-16","Package_TO_SOT_THT:TO-126-3_Vertical",""
"Q102","BD140-16","Package_TO_SOT_THT:TO-126-3_Vertical",""
"Q103","BD139-16","Package_TO_SOT_THT:TO-126-3_Vertical",""
"Q104","BD140-16","Package_TO_SOT_THT:TO-126-3_Vertical",""
"R101","68","Resistor_SMD:R_0805_2012Metric",""
"R102","68","Resistor_SMD:R_0805_2012Metric",""
"R103","0.33","Resistor_SMD:R_2512_6332Metric",""
"R104","0.33","Resistor_SMD:R_2512_6332Metric",""
"R105","10","Resistor_SMD:R_1206_3216Metric",""
"R106","1k","Resistor_SMD:R_0805_2012Metric",""
"R107","10k","Resistor_SMD:R_0805_2012Metric",""
"R108","10k","Resistor_SMD:R_0805_2012Metric",""
"R121","68","Resistor_SMD:R_0805_2012Metric",""
"R122","68","Resistor_SMD:R_0805_2012Metric",""
"R123","0.33","Resistor_SMD:R_2512_6332Metric",""
"R124","0.33","Resistor_SMD:R_2512_6332Metric",""
"R125","10","Resistor_SMD:R_1206_3216Metric",""
"R126","1k","Resistor_SMD:R_0805_2012Metric",""
"R127","10k","Resistor_SMD:R_0805_2012Metric",""
"R128","10k","Resistor_SMD:R_0805_2012Metric",""
"R151","12k","Resistor_SMD:R_0805_2012Metric",""
"R152","12k","Resistor_SMD:R_0805_2012Metric",""
"R153","10k","Resistor_SMD:R_0805_2012Metric",""
"R154","10k","Resistor_SMD:R_0805_2012Metric",""
"R155","220","Resistor_SMD:R_0805_2012Metric",""
"R156","220","Resistor_SMD:R_0805_2012Metric",""
"R157","10k","Resistor_SMD:R_0805_2012Metric",""
"R158","10k","Resistor_SMD:R_0805_2012Metric",""
"R171","2.2Meg","Resistor_SMD:R_0805_2012Metric",""
"R172","2.2Meg","Resistor_SMD:R_0805_2012Metric",""
"R173","2.2Meg","Resistor_SMD:R_0805_2012Metric",""
"R174","2.2Meg","Resistor_SMD:R_0805_2012Metric",""
"R175","1k","Resistor_SMD:R_0805_2012Metric",""
"R176","1k","Resistor_SMD:R_0805_2012Metric",""
"R177","1k","Resistor_SMD:R_0805_2012Metric",""
"R178","1k","Resistor_SMD:R_0805_2012Metric",""
"R179","33k","Resistor_SMD:R_0805_2012Metric",""
"R180","33k","Resistor_SMD:R_0805_2012Metric",""
"R181","33k","Resistor_SMD:R_0805_2012Metric",""
"R182","33k","Resistor_SMD:R_0805_2012Metric",""
"R183","0","Resistor_SMD:R_0805_2012Metric",""
"R184","0","Resistor_SMD:R_0805_2012Metric",""
"R185","0","Resistor_SMD:R_0805_2012Metric",""
"R186","0","Resistor_SMD:R_0805_2012Metric",""
"R205","100","Resistor_SMD:R_1206_3216Metric",""
"R206","0","Resistor_SMD:R_1206_3216Metric",""
"U101","OPA1656IDR","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"U102","OPA1656IDR","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"U103","OPA1656IDR","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"U104","OPA1656IDR","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
