Ref,Val,Package,PosX,PosY,Rot,Side
"C101","47n","C_1210_3225Metric",124.000000,-52.000000,0.000000,top
"C121","47n","C_1210_3225Metric",124.000000,-76.000000,0.000000,top
"C171","68p","C_0805_2012Metric",168.000000,-40.000000,0.000000,top
"C172","68p","C_0805_2012Metric",168.000000,-62.000000,0.000000,top
"C173","68p","C_0805_2012Metric",168.000000,-74.000000,0.000000,top
"C174","68p","C_0805_2012Metric",168.000000,-96.000000,0.000000,top
"C175","22n","C_1206_3216Metric",176.000000,-40.000000,0.000000,top
"C176","22n","C_1206_3216Metric",176.000000,-62.000000,0.000000,top
"C177","22n","C_1206_3216Metric",176.000000,-74.000000,0.000000,top
"C178","22n","C_1206_3216Metric",176.000000,-96.000000,0.000000,top
"C191","1n","C_0805_2012Metric",193.000000,-75.000000,90.000000,top
"C291","100n","C_0805_2012Metric",58.000000,-126.000000,0.000000,top
"C292","100n","C_0805_2012Metric",82.000000,-126.000000,0.000000,top
"C293","100n","C_0805_2012Metric",106.000000,-126.000000,0.000000,top
"C294","100n","C_0805_2012Metric",130.000000,-126.000000,0.000000,top
"C295","100n","C_0805_2012Metric",70.000000,-126.000000,0.000000,top
"C296","100n","C_0805_2012Metric",94.000000,-126.000000,0.000000,top
"C297","100n","C_0805_2012Metric",118.000000,-126.000000,0.000000,top
"C298","100n","C_0805_2012Metric",142.000000,-126.000000,0.000000,top
"C299","22u","C_1210_3225Metric",154.000000,-126.000000,0.000000,top
"C300","22u","C_1210_3225Metric",166.000000,-126.000000,0.000000,top
"D101","1N4148W","D_SOD-123",94.000000,-40.000000,0.000000,top
"D102","1N4148W","D_SOD-123",102.000000,-40.000000,0.000000,top
"D121","1N4148W","D_SOD-123",94.000000,-68.000000,0.000000,top
"D122","1N4148W","D_SOD-123",102.000000,-68.000000,0.000000,top
"J101","PRI L SEND","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",186.000000,-46.000000,-90.000000,top
"J102","PRI L RET","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",186.000000,-57.000000,-90.000000,top
"J103","PRI R SEND","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",186.000000,-68.000000,-90.000000,top
"J104","PRI R RET","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",186.000000,-79.000000,-90.000000,top
"J105","SEC L SEND","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",186.000000,-90.000000,-90.000000,top
"J106","SEC L RET","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",186.000000,-101.000000,-90.000000,top
"J107","SEC R SEND","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",186.000000,-112.000000,-90.000000,top
"J108","SEC R RET","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",186.000000,-123.000000,-90.000000,top
"P101","JTR-PRI B6B-XH-A","JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical",38.000000,-55.000000,90.000000,top
"P102","JTR-SEC B6B-XH-A","JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical",38.000000,-90.000000,90.000000,top
"P103","JTR-PWR B3P-VH-B","JST_VH_B3P-VH_1x03_P3.96mm_Vertical",38.000000,-122.000000,90.000000,top
"Q101","BD139-16","TO-126-3_Vertical",76.000000,-56.000000,0.000000,top
"Q102","BD140-16","TO-126-3_Vertical",88.000000,-56.000000,0.000000,top
"Q103","BD139-16","TO-126-3_Vertical",76.000000,-80.000000,0.000000,top
"Q104","BD140-16","TO-126-3_Vertical",88.000000,-80.000000,0.000000,top
"R101","68","R_0805_2012Metric",78.000000,-40.000000,0.000000,top
"R102","68","R_0805_2012Metric",86.000000,-40.000000,0.000000,top
"R103","0.33","R_2512_6332Metric",100.000000,-52.000000,0.000000,top
"R104","0.33","R_2512_6332Metric",108.000000,-52.000000,0.000000,top
"R105","10","R_1206_3216Metric",116.000000,-52.000000,0.000000,top
"R106","1k","R_0805_2012Metric",62.000000,-40.000000,0.000000,top
"R107","10k","R_0805_2012Metric",54.000000,-40.000000,0.000000,top
"R108","10k","R_0805_2012Metric",70.000000,-40.000000,0.000000,top
"R121","68","R_0805_2012Metric",78.000000,-68.000000,0.000000,top
"R122","68","R_0805_2012Metric",86.000000,-68.000000,0.000000,top
"R123","0.33","R_2512_6332Metric",100.000000,-76.000000,0.000000,top
"R124","0.33","R_2512_6332Metric",108.000000,-76.000000,0.000000,top
"R125","10","R_1206_3216Metric",116.000000,-76.000000,0.000000,top
"R126","1k","R_0805_2012Metric",62.000000,-68.000000,0.000000,top
"R127","10k","R_0805_2012Metric",54.000000,-68.000000,0.000000,top
"R128","10k","R_0805_2012Metric",70.000000,-68.000000,0.000000,top
"R151","12k","R_0805_2012Metric",70.000000,-104.000000,0.000000,top
"R152","12k","R_0805_2012Metric",70.000000,-112.000000,0.000000,top
"R153","10k","R_0805_2012Metric",62.000000,-104.000000,0.000000,top
"R154","10k","R_0805_2012Metric",62.000000,-112.000000,0.000000,top
"R155","220","R_0805_2012Metric",78.000000,-104.000000,0.000000,top
"R156","220","R_0805_2012Metric",78.000000,-112.000000,0.000000,top
"R157","10k","R_0805_2012Metric",54.000000,-104.000000,0.000000,top
"R158","10k","R_0805_2012Metric",54.000000,-112.000000,0.000000,top
"R171","2.2Meg","R_0805_2012Metric",136.000000,-40.000000,0.000000,top
"R172","2.2Meg","R_0805_2012Metric",136.000000,-62.000000,0.000000,top
"R173","2.2Meg","R_0805_2012Metric",136.000000,-74.000000,0.000000,top
"R174","2.2Meg","R_0805_2012Metric",136.000000,-96.000000,0.000000,top
"R175","1k","R_0805_2012Metric",152.000000,-40.000000,0.000000,top
"R176","1k","R_0805_2012Metric",152.000000,-62.000000,0.000000,top
"R177","1k","R_0805_2012Metric",152.000000,-74.000000,0.000000,top
"R178","1k","R_0805_2012Metric",152.000000,-96.000000,0.000000,top
"R179","33k","R_0805_2012Metric",160.000000,-40.000000,0.000000,top
"R180","33k","R_0805_2012Metric",160.000000,-62.000000,0.000000,top
"R181","33k","R_0805_2012Metric",160.000000,-74.000000,0.000000,top
"R182","33k","R_0805_2012Metric",160.000000,-96.000000,0.000000,top
"R183","0","R_0805_2012Metric",144.000000,-40.000000,0.000000,top
"R184","0","R_0805_2012Metric",144.000000,-62.000000,0.000000,top
